molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,200000.0
CHEMBL479488,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)C2,inactive,1740000.0
CHEMBL1766759,Nc1ncc(-c2ccccc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766760,Nc1nccnc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766761,Nc1ncc(Br)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766762,Nc1ncc(C2CCCCC2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766763,Nc1ncc(C2=CCCCC2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1765107,Nc1ncc(-c2cccnc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766764,Nc1ncc(-c2ccncc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766765,N#Cc1ccccc1-c1cnc(N)c(C(=O)Nc2ccccc2)n1,active,320.0
CHEMBL1766766,C[S+]([O-])c1ccccc1-c1cnc(N)c(C(=O)Nc2ccccc2)n1,intermediate,3000.0
CHEMBL1766767,CS(=O)(=O)c1ccccc1-c1cnc(N)c(C(=O)Nc2ccccc2)n1,intermediate,8000.0
CHEMBL1766768,Nc1ncc(-c2ccccc2O)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766769,COc1ccccc1-c1cnc(N)c(C(=O)Nc2ccccc2)n1,intermediate,8000.0
CHEMBL1766770,Nc1ncc(-c2ccccc2Cl)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766771,Cc1ccccc1-c1cnc(N)c(C(=O)Nc2ccccc2)n1,intermediate,8000.0
CHEMBL1766772,N#Cc1cccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)c1,intermediate,8000.0
CHEMBL1766773,CS(=O)(=O)c1cccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)c1,intermediate,6600.0
CHEMBL1766774,Nc1ncc(-c2cccc(O)c2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766775,COc1cccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)c1,intermediate,8000.0
CHEMBL1766776,Nc1ncc(-c2cccc(Cl)c2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766777,Cc1cccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)c1,intermediate,8000.0
CHEMBL1766778,N#Cc1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766779,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766780,Nc1ncc(-c2ccc(O)cc2)nc1C(=O)Nc1ccccc1,intermediate,5800.0
CHEMBL1766781,COc1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766782,Nc1ncc(-c2ccc(Cl)cc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766783,Cc1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766784,NC(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,2900.0
CHEMBL1766785,CNC(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,2600.0
CHEMBL1766786,Nc1ncc(-c2ccc(C(=O)N3CCC3)cc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766787,CN(C)C(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766788,Nc1ncc(-c2ccc(C(=O)N3CCCC3)cc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766789,Nc1ncc(-c2ccc(C(=O)N3CCCCC3)cc2)nc1C(=O)Nc1ccccc1,intermediate,8000.0
CHEMBL1766790,CN(C)C(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1Cl,intermediate,8000.0
CHEMBL1766791,C[S+]([O-])c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
